Date,High,Low,Close,Open
2020-07-29,15044.35,14814.45,14894.9,14979
2020-07-30,14855.45,14601.7,14631.1,14747.35
2020-07-31,14673.85,14416.25,14634.15,14481.05
2020-08-01,14723.4,14461.5,14496.5,14687.25
2020-08-02,14637.9,14506.6,14617.85,14604.15
2020-08-03,14743.9,14611.5,14724.8,14668.35
2020-08-04,14863.05,14765.5,14823.15,14816.85
2020-08-05,14966.9,14892.5,14942.35,14928.25
2020-08-06,14900,14771.4,14850.75,14789.7
2020-08-07,14824.05,14649.7,14696.5,14823.55
2020-08-08,14749.65,14591.9,14677.8,14749.4
2020-08-09,14938,14725.35,14923.15,14756.25
2020-08-10,15137.25,15043.7,15108.1,15067.2
2020-08-11,15133.4,15008.85,15030.15,15058.6
2020-08-12,15069.8,14884.9,14906.05,15042.6
2020-08-13,15190,14985.85,15175.3,14987.8
2020-08-14,15256.25,15145.45,15197.7,15211.35
2020-08-15,15293.85,15163.4,15208.45,15291.75
2020-08-16,15319.9,15194.95,15301.45,15257.05
2020-08-17,15384.55,15272.5,15337.85,15323.95
2020-08-18,15469.65,15394.75,15435.65,15421.2
2020-08-19,15606.35,15374,15582.8,15437.75
2020-08-20,15660.75,15528.3,15574.85,15629.65
2020-08-21,15597.45,15459.85,15576.2,15520.35
2020-08-22,15705.1,15611,15690.35,15655.55
2020-08-23,15733.6,15622.35,15670.25,15712.5
2020-08-24,15773.45,15678.1,15751.65,15725.1
2020-08-25,15778.8,15680,15740.1,15773.9
2020-08-26,15800.45,15566.9,15635.35,15766.3
2020-08-27,15751.25,15648.5,15737.75,15692.1
2020-08-28,15835.55,15749.8,15799.35,15796.45
2020-08-29,15823.05,15606.5,15811.85,15791.4
2020-08-30,15901.6,15842.4,15869.25,15866.95
2020-08-31,15880.85,15742.6,15767.55,15847.5
2020-09-01,15769.35,15616.75,15691.4,15648.3
2020-09-02,15761.5,15450.9,15683.35,15756.5
2020-09-03,15765.15,15505.65,15746.5,15525.85
2020-09-04,15895.75,15752.1,15772.75,15840.5
2020-09-05,15862.95,15673.95,15686.95,15862.8
2020-09-06,15821.4,15702.7,15790.45,15737.3
2020-09-07,15870.8,15772.3,15860.35,15839.35
2020-09-08,15915.65,15792.15,15814.7,15915.35
2020-09-09,15835.9,15724.05,15748.45,15807.5
2020-09-10,15839.1,15708.75,15721.5,15776.9
2020-09-11,15755.55,15667.05,15680,15755.05
2020-09-12,15738.35,15635.95,15722.2,15705.85
2020-09-13,15845.95,15762.05,15834.35,15793.4
2020-09-14,15914.2,15801,15818.25,15813.75
2020-09-15,15893.55,15779.7,15879.65,15819.6
2020-09-16,15885.75,15682.9,15727.9,15855.4
2020-09-17,15730.85,15632.75,15689.8,15688.25
2020-09-18,15789.2,15644.75,15692.6,15766.8
2020-09-19,15820.8,15744.6,15812.35,15794
2020-09-20,15877.35,15764.2,15853.95,15808.7
2020-09-21,15952.35,15855,15924.2,15872.15
2020-09-22,15962.25,15882.6,15923.4,15958.35
2020-09-23,15836.9,15707.5,15752.4,15754.5
2020-09-24,15728.45,15578.55,15632.1,15703.95
2020-09-25,15834.8,15726.4,15824.05,15736.6
2020-09-26,15899.8,15768.4,15856.05,15856.8
2020-09-27,15893.35,15797,15824.45,15849.3
2020-09-28,15881.55,15701,15746.45,15860.5
2020-09-29,15767.5,15513.45,15709.4,15761.55
2020-09-30,15817.35,15737.8,15778.45,15762.7
2020-10-01,15862.8,15744.85,15763.05,15800.6
2020-10-02,15892.9,15834.65,15885.15,15874.9
2020-10-03,16146.9,15914.35,16130.75,15951.55
2020-10-04,16290.2,16176.15,16258.8,16195.25
2020-10-05,16349.45,16210.3,16294.6,16288.95
2020-10-06,16336.75,16223.3,16238.2,16304.4
2020-10-07,16320.75,16179.05,16258.25,16281.35
2020-10-08,16359.25,16202.25,16280.1,16274.8
2020-10-09,16338.75,16162.55,16282.25,16327.3
2020-10-10,16375.5,16286.9,16364.4,16303.65
2020-10-11,16543.6,16376.3,16529.1,16385.7
2020-10-12,16589.4,16480.75,16563.05,16518.4
2020-10-13,16628.55,16495.4,16614.6,16545.25
2020-10-14,16701.85,16535.85,16568.85,16691.95
2020-10-15,16509.55,16376.05,16450.5,16382.5
2020-10-16,16592.5,16395.7,16496.45,16592.25
2020-10-17,16647.1,16495.3,16624.6,16561.4
2020-10-18,16712.45,16617.5,16634.65,16654
2020-10-19,16683.7,16603.4,16636.9,16627.95
2020-10-20,16722.05,16565.6,16705.2,16642.55
2020-10-21,16951.5,16764.85,16931.05,16775.85
2020-10-22,17153.5,16915.85,17132.2,16947.5
2020-10-23,17225.75,17055.05,17076.25,17185.6
2020-10-24,17245.5,17059.7,17234.15,17095.4
2020-10-25,17340.1,17212.2,17323.6,17262.45
2020-10-26,17429.55,17345.55,17377.8,17399.35
2020-10-27,17436.5,17287,17362.1,17401.55
2020-10-28,17383.4,17254.2,17353.5,17375.75
2020-10-29,17379.65,17302.7,17369.25,17312.85
2020-10-30,17378.35,17269.15,17355.3,17363.55
2020-10-31,17438.55,17367.05,17380,17420.35
2020-11-01,17532.7,17386.9,17519.45,17387.65
2020-11-02,17644.6,17510.45,17629.5,17539.2
2020-11-03,17792.95,17537.65,17585.15,17709.65
2020-11-04,17622.75,17361.8,17396.9,17443.85
2020-11-05,17578.35,17326.1,17562,17450.5
2020-11-06,17610.45,17524,17546.65,17580.9
2020-11-07,17843.9,17646.55,17822.95,17670.85
2020-11-08,17947.65,17819.4,17853.2,17897.45
2020-11-09,17943.5,17802.9,17855.1,17932.2
2020-11-10,17912.85,17576.1,17748.6,17906.45
2020-11-11,17781.75,17608.15,17711.3,17657.95
2020-11-12,17742.15,17585.35,17618.15,17718.9
2020-11-13,17557.15,17452.9,17532.05,17531.9
2020-11-14,17750.9,17581.35,17691.25,17615.55
2020-11-15,17833.45,17640.9,17822.3,17661.35
2020-11-16,17884.6,17613.15,17646,17861.5
2020-11-17,17857.55,17763.8,17790.35,17810.55
2020-11-18,17941.85,17840.35,17895.2,17886.85
2020-11-19,18041.95,17839.1,17945.95,17867.55
2020-11-20,18008.65,17864.95,17991.95,17915.8
2020-11-21,18197.8,18050.75,18161.75,18097.85
2020-11-22,18350.75,18248.7,18338.55,18272.85
2020-11-23,18543.15,18445.3,18477.05,18500.1
2020-11-24,18604.45,18377.7,18418.75,18602.35
2020-11-25,18458.3,18209.35,18266.6,18439.9
2020-11-26,18384.2,18048,18178.1,18382.7
2020-11-27,18314.25,18034.35,18114.9,18230.7
2020-11-28,18241.4,17968.5,18125.4,18229.5
2020-11-29,18310.45,18099.3,18268.4,18154.5
2020-11-30,18342.05,18167.9,18210.95,18295.85
2020-12-01,18190.7,17799.45,17857.25,18187.65
2020-12-02,17915.85,17613.1,17671.65,17833.05
2020-12-03,17954.1,17697.1,17929.65,17783.15
2020-12-04,18012.25,17847.6,17888.95,17970.9
2020-12-05,17988.75,17757.95,17829.2,17947.95
2020-12-06,17947.55,17900.6,17916.8,17935.05
2020-12-07,18087.8,17836.1,18068.55,18040.2
2020-12-08,18112.6,17983.05,18044.25,18084.35
2020-12-09,18061.25,17915,18017.2,17973.45
2020-12-10,17971.35,17798.2,17873.6,17967.45
2020-12-11,18123,17905.9,18102.75,17977.6
2020-12-12,18210.15,18071.3,18109.45,18140.95
2020-12-13,18132.65,17958.8,17999.2,18127.05
2020-12-14,18022.65,17879.25,17898.65,17939.35
2020-12-15,17945.6,17688.5,17764.8,17890.55
2020-12-16,17805.25,17280.45,17416.55,17796.25
2020-12-17,17553.7,17216.1,17503.35,17281.75
2020-12-18,17600.6,17354,17415.05,17550.05
2020-12-19,17564.35,17351.7,17536.25,17417.3
2020-12-20,17355.4,16985.7,17026.45,17338.75
2020-12-21,17160.7,16782.4,17053.95,17055.8
2020-12-22,17324.65,16931.4,16983.2,17051.15
2020-12-23,17213.05,17064.25,17166.9,17104.4
2020-12-24,17420.35,17149.3,17401.65,17183.2
2020-12-25,17489.8,17180.8,17196.7,17424.9
2020-12-26,17216.75,16891.7,16912.25,17209.05
2020-12-27,17251.65,16987.75,17176.7,17044.1
2020-12-28,17484.6,17308.95,17469.75,17315.25
2020-12-29,17543.25,17379.6,17516.85,17524.4
2020-12-30,17534.35,17405.25,17511.3,17476.05
2020-12-31,17639.5,17355.95,17368.25,17619.1
2021-01-01,17376.2,17225.8,17324.9,17283.2
2021-01-02,17351.2,17192.2,17221.4,17323.65
2021-01-03,17379.35,17184.95,17248.4,17373
2021-01-04,17298.15,16966.45,16985.2,17276
2021-01-05,16840.1,16410.2,16614.2,16824.25
2021-01-06,16936.4,16688.25,16770.85,16773.15
2021-01-07,16971,16819.5,16955.45,16865.55
2021-01-08,17118.65,17015.55,17072.6,17066.8
2021-01-09,17155.6,16909.6,17003.75,17149.5
2021-01-10,17112.05,16833.2,17086.25,16937.75
2021-01-11,17250.25,17161.15,17233.25,17177.6
2021-01-12,17285.95,17176.65,17213.6,17220.1
2021-01-13,17264.05,17146.35,17203.95,17201.45
2021-01-14,17400.8,17238.5,17354.05,17244.5
2021-01-15,17646.65,17383.3,17625.7,17387.15
2021-01-16,17827.6,17593.55,17805.25,17681.4
2021-01-17,17944.7,17748.85,17925.25,17820.1
2021-01-18,17797.95,17655.55,17745.9,17768.5
2021-01-19,17905,17704.55,17812.7,17797.6
2021-01-20,18017.45,17879.15,18003.3,17913.3
2021-01-21,18081.25,17964.4,18055.75,17997.75
2021-01-22,18227.95,18128.8,18212.35,18170.4
2021-01-23,18272.25,18163.8,18257.8,18257
2021-01-24,18286.95,18119.65,18255.75,18185
2021-01-25,18321.55,18228.75,18308.1,18235.65
2021-01-26,18350.95,18085.9,18113.05,18337.2
2021-01-27,18129.2,17884.9,17938.4,18129.2
2021-01-28,17943.7,17648.45,17757,17921
2021-01-29,17707.6,17485.85,17617.15,17613.7
2021-01-30,17599.4,16997.85,17149.1,17575.15
2021-01-31,17309.15,16836.8,17277.95,17001.55
2021-02-01,17182.5,16866.75,17110.15,17062
2021-02-02,17373.5,17077.1,17101.95,17208.3
2021-02-03,17410,17264.15,17339.85,17301.05
2021-02-04,17622.4,17244.55,17576.85,17529.45
2021-02-05,17794.6,17674.8,17780,17706.2
2021-02-06,17781.15,17511.15,17560.2,17767.75
2021-02-07,17617.8,17462.55,17516.3,17590.2
2021-02-08,17536.75,17119.4,17213.6,17456.3
2021-02-09,17306.45,17043.65,17266.75,17279.85
2021-02-10,17477.15,17339,17463.8,17370.1
2021-02-11,17639.45,17427.15,17605.85,17554.1
2021-02-12,17454.75,17303,17374.75,17451
2021-02-13,17099.5,16809.65,16842.8,17076.15
2021-02-14,17375,16839.25,17352.45,16933.25
2021-02-15,17490.6,17257.7,17322.2,17408.45
2021-02-16,17442.9,17235.85,17304.6,17396.55
2021-02-17,17380.8,17219.2,17276.3,17236.05
2021-02-18,17351.05,17070.7,17206.65,17192.25
2021-02-19,17148.55,16843.8,17092.2,16847.95
2021-02-20,17220.7,17027.85,17063.25,17194.5
2021-02-21,16705.25,16203.25,16247.95,16548.9
2021-02-22,16748.8,16478.3,16658.4,16515.65
2021-02-23,16815.9,16356.3,16793.9,16481.6
2021-02-24,16678.5,16478.65,16605.95,16593.1
2021-02-25,16768.95,16442.95,16498.05,16723.2
2021-02-26,16456,16133.8,16245.35,16339.45
2021-02-27,15944.6,15711.45,15863.15,15867.95
2021-02-28,16028.75,15671.45,16013.45,15747.75
2021-03-01,16418.05,15990,16345.35,16078
2021-03-02,16757.3,16447.9,16594.9,16757.1
2021-03-03,16694.4,16470.9,16630.45,16528.8
2021-03-04,16887.95,16606.5,16871.3,16633.7
2021-03-05,16927.75,16555,16663,16900.65
2021-03-06,16987.9,16837.85,16975.35,16876.65
2021-03-07,17344.6,17175.75,17287.05,17202.9
2021-03-08,17353.35,17096.4,17117.6,17329.5
2021-03-09,17334.4,17006.3,17315.5,17120.4
2021-03-10,17442.4,17199.6,17245.65,17405.05
2021-03-11,17291.75,17091.15,17222.75,17094.95
2021-03-12,17294.9,17076.55,17153,17289
2021-03-13,17235.1,17003.9,17222,17181.85
2021-03-14,17343.65,17235.7,17325.3,17297.2
2021-03-15,17522.5,17387.2,17498.25,17468.15
2021-03-16,17559.8,17435.2,17464.75,17519.2
2021-03-17,17703.7,17422.7,17670.45,17436.9
2021-03-18,18114.65,17791.4,18053.4,17809.1
2021-03-19,18095.45,17921.55,17957.4,18080.6
2021-03-20,17901,17779.85,17807.65,17842.75
2021-03-21,17787.5,17623.7,17639.55,17723.3
2021-03-22,17842.75,17600.55,17784.35,17698.15
2021-03-23,17779.05,17650.95,17674.95,17740.9
2021-03-24,17595.3,17442.35,17530.3,17584.85
2021-03-25,17663.65,17457.4,17475.65,17599.9
2021-03-26,17237.75,17067.85,17173.65,17183.45
2021-03-27,17275.65,16824.7,16958.65,17258.95
2021-03-28,17186.9,16978.95,17136.55,17045.25
2021-03-29,17414.7,17215.5,17392.6,17234.6
2021-03-30,17315.3,17149.2,17171.95,17242.75
2021-03-31,17054.3,16888.7,16953.95,17009.05
2021-04-01,17223.85,17064.45,17200.8,17121.3
2021-04-02,17110.7,16958.45,17038.4,17073.35
2021-04-03,17322.5,17071.05,17245.05,17189.5
2021-04-04,17377.65,17053.25,17102.55,17329.25
2021-04-05,17092.25,16917.25,17069.1,16924.45
2021-04-06,17132.85,16623.95,16677.6,17096.6
2021-04-07,16945.7,16651.85,16682.65,16854.75
